"医 療 機 関 名 称","医療機関所在地",""電話番号","開設者氏名","管理者氏名","備　考"
"近藤薬局","〒104－0045 中央区築地二丁目１１番２６号","03-3541-1343","株式会社　近藤薬局　佐藤　文則","佐藤　和子","薬局現存"
"銀座清水薬局","〒104－0061 中央区銀座五丁目７番７号","03-3571-7455","株式会社　銀星堂清水薬局　清水　誠治","清水　誠治","薬局現存"
"銀座ペンギン薬局","〒104－0061 中央区銀座八丁目８番１１号　博品館ビル地下１階","03-3574-8278","株式会社　ペンギン薬局　代表取締役　菅原　博雄","菅原　由記子","薬局現存"
"秋葉薬局","〒104－0031 中央区京橋三丁目６番１号","03-3561-4359","株式会社　秋葉薬局　代表取締役　秋葉　保次","秋葉　保次","薬局現存"
"トラヤ薬局","〒104－0045 中央区築地二丁目９番６号","03-3541-6648","有限会社　トラヤ薬局　代表取締役　宮崎　俊一","宮崎　夏樹","薬局現存"
"川名薬局","〒103－0004 中央区東日本橋三丁目７番３号","03-3661-9146","有限会社　川名薬局　代表取締役　川名　信一","川名　信一","薬局現存"
"望星築地薬局","〒104－0044 中央区明石町１１番１５号　ミキジ明石町ビル１階２階","03-3541-1193","株式会社　望星薬局　代表取締役　堀口　雅巳","小鷹　篤","薬局現存"
"水天宮ホリベ薬局","〒103－0014 中央区日本橋蛎殻町二丁目５番３号　サンホリベビル１階","03-3666-7558","有限会社　ホリベ商会水天宮ファーマシィ　代表取締役　堀部　泰子","堀部　泰子","薬局現存"
"佐藤薬局","〒104－0032 中央区八丁堀二丁目１９番７号","03-3551-2166","有限会社　佐藤薬局　佐藤　滋","佐藤　滋","薬局現存"
"イシイ薬局","〒104－0061 中央区銀座七丁目６番２号","03-3571-4715","株式会社　イシイ薬局　代表取締役　石井　誠","石井　誠","薬局現存"
"越前堀薬局","〒104－0033 中央区新川二丁目１７番１２号　Ｅビル１階","03-3551-9933","有限会社　越前堀ドラッグストアー　犬伏　洋夫","川田　裕隆","薬局現存"
"福住薬局","〒103－0013 中央区日本橋人形町一丁目１８番７号","03-3666-3939","福住　衣里子","福住　衣里子","薬局現存"
"薬局エスエルファーマシー","〒104－0044 中央区明石町８番１号　エスエルタワー２階","03-3542-6001","株式会社　エヌ・エス・ライフコーポレーション　代表取締役　横山　亮一","菅野　直樹","薬局現存"
"清心丹薬局","〒103－0013 中央区日本橋人形町一丁目４番１０号　人形町センタービル１階","03-3666-4828","株式会社　清心丹　代表取締役　髙木　紀子","小倉　尚美","薬局現存"
"共創未来　築地４丁目薬局","〒104－0045 中央区築地四丁目３番１１号　うねめビル１階","03-3543-9455","株式会社　ファーマみらい　代表取締役　岡山　善郎","波田野　小百合","薬局現存"
"恵愛堂薬局","〒104－0052 中央区月島四丁目３番３号　ウィンド月島Ⅱ１階","03-3533-3903","有限会社　恵愛堂　代表取締役　清水　嘉洋","清水　睦美","薬局現存"
"加健調剤薬局","〒104－0044 中央区明石町１１番６号　加健筑地ビル１階・２階","03-3248-6631","株式会社　ケン　ニューメディア　ラボラトリーズ　代表取締役　加藤　健次郎","宇賀神　未来","薬局現存"
"テトラ薬局　八丁堀店","〒104－0032 中央区八丁堀三丁目２０番１号　共伸ビル１階","03-5543-0141","株式会社　アピスファーマシーＴＭ　代表取締役　川越　敏章","若松　大地","薬局現存"
"すずらん薬局","〒104－0032 中央区八丁堀三丁目１６番７号　岡村ビル１階","03-3553-0554","有限会社　すずらんメディカル　代表取締役　井口　秀和","黒崎　由樹子","薬局現存"
"ホリベ薬局　人形町店","〒103－0014 中央区日本橋蛎殻町一丁目２９番６号　水天宮前東急ビル１階","03-3666-0129","有限会社　ホリベ薬局　代表取締役　堀部　敬三","堀部　敬三","薬局現存"
"しまづる浜町薬局","〒103－0007 中央区日本橋浜町二丁目３１番１号　浜町センタービル１階","03-5651-7881","株式会社　エムエス・ファーマシー　代表取締役　大野　純男","大野　純男","薬局現存"
"くま薬局","〒103－0014 中央区日本橋蛎殻町一丁目１０番４号　宮田ビル１階","03-5651-2161","有限会社　くま薬局　取締役　隈　アヤ子","大橋　せつ子","薬局現存"
"薬局マツモトキヨシ　銀座５ｔｈビル店","〒104－0061 中央区銀座五丁目５番１号　銀座５ｔｈビル地下１階１階２階","03-3289-5321","株式会社　マツモトキヨシ　代表取締役　大田　貴雄","丸山　崇","薬局現存"
"テトラ薬局","〒103－0013 中央区日本橋人形町一丁目４番１４号","03-3663-1311","株式会社　アピスファーマシーＴＭ　代表取締役　川越　敏章","小川　英之","薬局現存"
"トーシン薬局","〒103－0028 中央区八重洲一丁目６番１８号","03-3271-5280","東清薬品　株式会社　代表取締役　加藤　和子","加藤　和子","薬局現存"
"ぱぱす薬局　月島店","〒104－0052 中央区月島二丁目１０番２号　ムーンアイランドタワーＳ１０３","03-6219-6771","株式会社　ぱぱす　代表取締役　根津　孝一","並木　潤","薬局現存"
"福むら薬局","〒104－0052 中央区月島三丁目２８番６号","03-5548-5534","有限会社　ロックビレッジ　代表取締役　岩村　隆治","松崎　努","薬局現存"
"みのり薬局","〒104－0052 中央区月島三丁目１３番４号　善利ビル１階","03-3532-6771","株式会社　フォーラル　代表取締役　松村　達","神田　匠","薬局現存"
"チトセ薬局","〒103－0014 中央区日本橋蛎殻町一丁目１９番９号　ルート蛎殻町ビル１階","03-5623-7186","有限会社　小幡薬局　代表取締役　小幡　修一","茅根　久恵","薬局現存"
"仁生堂薬局　築地店","〒104－0044 中央区明石町１１番５号","03-5565-1493","有限会社　仁生堂　代表取締役　馬場　きく子","藤本　康宏","薬局現存"
"八丁堀薬局","〒104－0032 中央区八丁堀三丁目８番１号　栄ビル１階","03-3297-7522","有限会社　アズテレサ　代表取締役　佐藤　幸雄","是澤　初美","薬局現存"
"薬局くすりの福太郎　銀座店","〒104－0061 中央区銀座六丁目１２番１０号　銀座龍岡ビル１階","03-5537-3329","株式会社　くすりの福太郎　代表取締役　小川　久哉","福田　佐千子","薬局現存"
"テトラ薬局　新富町店","〒104－0041 中央区新富一丁目６番１５号　サニービル１０１","03-5541-7733","株式会社　アピスファーマシーＴＭ　代表取締役　川越　敏章","佐谷　奈緒","薬局現存"
"ひまわり薬局　茅場町店","〒103－0025 中央区日本橋茅場町二丁目６番８号　大湯ビル１階","03-5642-3378","株式会社　ニック　代表取締役　吉川　正男","餅田　貴行","薬局現存"
"薬局トモズ　トルナーレ浜町店","〒103－0007 中央区日本橋浜町三丁目３番１号　トルナーレ１階","03-5614-6021","株式会社　トモズ　代表取締役　德廣　英之","内田　晶子","薬局現存"
"越前堀薬局プッシュ","〒104－0033 中央区新川二丁目２２番６号","03-3555-1835","有限会社　越前堀ドラッグストアー　代表取締役　犬伏　洋夫","堀岡　順子","薬局現存"
"ヘルス薬局　築地店","〒104－0045 中央区築地一丁目１２番１２号　ＳＩビル１階","03-6226-4513","株式会社　ヘルス企画　代表取締役　喜多　広志","長谷川　広恵","薬局現存"
"スター薬局","〒103－0021 中央区日本橋本石町三丁目２番１２号　社労士ビル１階","03-3548-7257","株式会社　日本メディカル　狩野　真樹子","金田　典子","薬局現存"
"テトラ薬局　中央店","〒103－0013 中央区日本橋人形町二丁目７番１０号　エル人形町ビル１階","03-5651-7743","株式会社　アピスファーマシーＴＭ　代表取締役　川越　敏章","井上　美奈","薬局現存"
"銀座漢方天風堂薬局","〒104－0061 中央区銀座三丁目１４番４号　エグゼ銀座１階","03-3547-5102","株式会社　銀座漢方　代表取締役　栁澤　謙行","栁澤　謙行","薬局現存"
"ヘルス薬局　日本橋店","〒103－0012 中央区日本橋堀留町二丁目８番５号　デンヨービル１階","03-5642-6016","株式会社　ヘルス企画　代表取締役　喜多　広志","海老原　公代","薬局現存"
"アンソニーズ佃薬局","〒104－0051 中央区佃二丁目２番７号　１０１リバーシティ２１　７号棟１階","03-3536-1193","株式会社　蘇穣メディカルグループ　代表取締役　髙村　知宏","神宮司　陽一","薬局現存"
"新川調剤薬局","〒104－0033 中央区新川二丁目１６番１１号　青木ビル１階","03-3552-0630","株式会社　エムアンドエー　代表取締役　阿部　円","布施　麻衣","薬局現存"
"日本調剤　築地薬局","〒104－0045 中央区築地四丁目６番６号　１階、２階","03-6226-4025","日本調剤　株式会社　代表取締役　三津原　庸介","永井　敏之","薬局現存"
"さくら薬局　豊海店","〒104－0055 中央区豊海町２番２－１１３号","03-3531-0121","クラフト　株式会社　代表取締役　大塚　吉史","三石　昌宏","薬局現存"
"さくら薬局　築地店","〒104－0045 中央区築地一丁目９番９号　細川築地ビル８階","03-3547-3646","クラフト　株式会社　代表取締役　大塚　吉史","大森　聖之","薬局現存"
"フレンド薬局","〒104－0052 中央区月島一丁目１１番９号","03-5548-5548","有限会社　モネット　代表取締役　尾本　光秀","堀川　博子","薬局現存"
"アイ調剤薬局","〒103－0022 中央区日本橋室町四丁目１番６号　クアトロ室町ビル１階","03-3241-9741","有限会社　アイ調剤薬局　代表取締役　渋谷　美佐緒","渋谷　泰史","薬局現存"
"銀座スカイ薬局","〒104－0061 中央区銀座八丁目４番２６号　横須賀第６ビル３階Ｂ室","03-6218-0123","有限会社　バンビー薬局　代表取締役　吉松　幹雄","西島　敏子","薬局現存"
